customer_id,order_date,order_time,sku,item_id,item_quantity,item_price,item_disc_bins_null,item_disc_bins_sub_twenty,item_disc_bins_sub_forty,item_disc_bins_sub_sixty,item_disc_bins_sub_eighty,item_disc_bins_sub_hundred
4465,2022-05-02,16:03:42,,Aster,1,55.0,1,0,0,0,0,0
4466,2022-07-11,14:58:01,,DeLoach Vineyards Russian River Valley Zinfandel 2018,1,64.0,1,0,0,0,0,0
4466,2022-07-11,14:58:01,BBW-WINE-445,Silver Heights Jia Yuan Marselan 2017,1,62.0,1,0,0,0,0,0
4466,2022-07-11,14:58:01,BBW-WINE-479,Recanati Marselan Reserve 2018,1,83.0,1,0,0,0,0,0
4467,2022-06-27,07:39:33,,"Wine Ambassador Series: Canaan Wine Estate, China - 1630 - 1730",1,36.0,1,0,0,0,0,0
4468,2023-06-05,16:17:43,BBW-WINE-363,Orin Swift Cellars Slander 2021,1,130.0,1,0,0,0,0,0
4468,2023-06-05,16:17:43,BBW-WINE-369,Orin Swift Cellars Mannequin 2018,1,98.0,1,0,0,0,0,0
4468,2023-06-05,16:17:43,,Domaine des Marnes Blanches Poulsard 2020,1,69.0,1,0,0,0,0,0
4468,2023-06-05,16:17:43,BBW-WINE-800,Pascal Jolivet Attitude Sauvignon Blanc 2018,1,52.0,1,0,0,0,0,0
4468,2023-06-05,16:17:43,BBW-WINE-727,Momento Mori Staring at the Sun 2021,1,87.0,1,0,0,0,0,0
4469,2022-01-22,02:58:10,,Franck Balthazar Cote du Rhone 2016,4,50.0,1,0,0,0,0,0
4470,2022-03-12,18:23:55,BBW-WINE-499,Robert Mondavi Private Selection Bourbon Barrel-Aged Chardonnay 2019,6,47.0,1,0,0,0,0,0
4471,2022-02-20,19:13:08,,Robert Mondavi Private Selection Bourbon Barrel-Aged Chardonnay 2019,4,47.0,1,0,0,0,0,0
4472,2022-11-05,12:01:14,BBW-WINE-394,Rockford Basket Press Shiraz 2016,2,158.0,1,0,0,0,0,0
4473,2023-07-22,18:29:16,,Tiwari Unwritten Poem Pet Nat Blanc Brut Nature 2020,2,35.0,1,0,0,0,0,0
4473,2023-07-22,18:29:16,BBW-WINE-240,Casarena Jamilla Single Vineyard Malbec 2019,1,79.0,1,0,0,0,0,0
4474,2023-07-09,18:15:51,,Wine Ambassador Series: Exploration of Eastern Europe - 1700 - 1800,2,29.0,1,0,0,0,0,0
4475,2023-06-08,15:39:12,,Viorica de Purcari 2021,1,52.0,1,0,0,0,0,0
4475,2023-06-08,15:39:12,BBW-WINE-041,Ménage à Trois Bourbon Barrel Cabernet Sauvignon 2020,2,53.0,1,0,0,0,0,0
4475,2023-06-08,15:39:12,BBW-WINE-498,Robert Mondavi Private Selection Bourbon Barrel-Aged Cabernet Sauvignon 2019,3,55.0,1,0,0,0,0,0
4476,2023-01-08,17:42:00,,Viorica de Purcari 2021,3,52.0,1,0,0,0,0,0
4476,2023-01-08,17:42:00,BBW-WINE-498,Robert Mondavi Private Selection Bourbon Barrel-Aged Cabernet Sauvignon 2019,3,53.0,1,0,0,0,0,0
4477,2022-11-23,12:28:02,BBW-WINE-093,The Prisoner Saldo Zinfandel NV,1,82.0,1,0,0,0,0,0
4477,2022-11-23,12:28:02,BBW-WINE-078,El Coto Coto de Imaz rioja Gran Reserva 2015,1,55.0,1,0,0,0,0,0
4477,2022-11-23,12:28:02,BBW-WINE-498,Robert Mondavi Private Selection Bourbon Barrel-Aged Cabernet Sauvignon 2019,2,52.0,1,0,0,0,0,0
4477,2022-11-23,12:28:02,,Viorica de Purcari 2021,2,52.0,1,0,0,0,0,0
4478,2022-11-01,13:27:37,,Viorica de Purcari 2021,3,52.0,1,0,0,0,0,0
4478,2022-11-01,13:27:37,BBW-WINE-498,Robert Mondavi Private Selection Bourbon Barrel-Aged Cabernet Sauvignon 2019,3,52.0,1,0,0,0,0,0
4479,2022-09-11,12:39:09,,Viorica de Purcari 2020,1,48.0,1,0,0,0,0,0
4479,2022-09-11,12:39:09,BBW-WINE-161,Kabaj Beli Pinot 2016,1,64.0,1,0,0,0,0,0
4479,2022-09-11,12:39:09,BBW-WINE-498,Robert Mondavi Private Selection Bourbon Barrel-Aged Cabernet Sauvignon 2019,2,52.0,1,0,0,0,0,0
4479,2022-09-11,12:39:09,BBW-WINE-041,Ménage à Trois Bourbon Barrel Cabernet Sauvignon 2018,2,52.0,1,0,0,0,0,0
4480,2022-08-06,21:43:33,BBW-WINE-041,Ménage à Trois Bourbon Barrel Cabernet Sauvignon 2018,2,52.0,1,0,0,0,0,0
4480,2022-08-06,21:43:33,BBW-WINE-756,De Toren Delicate N.V,1,52.0,1,0,0,0,0,0
4480,2022-08-06,21:43:33,BBW-WINE-522,Catena Zapata Malbec 2019,1,53.0,1,0,0,0,0,0
4480,2022-08-06,21:43:33,BBW-WINE-498,Robert Mondavi Private Selection Bourbon Barrel-Aged Cabernet Sauvignon 2019,2,52.0,1,0,0,0,0,0
4481,2022-12-27,21:25:06,BBW-WINE-093,The Prisoner Saldo Zinfandel NV,12,82.0,1,0,0,0,0,0
4482,2022-11-11,02:00:50,BBW-WINE-093,The Prisoner Saldo Zinfandel NV,8,82.0,1,0,0,0,0,0
4483,2022-11-11,01:58:49,BBW-WINE-093,The Prisoner Saldo Zinfandel NV,12,82.0,1,0,0,0,0,0
4484,2022-10-13,21:22:23,BBW-WINE-093,The Prisoner Saldo Zinfandel NV,12,82.0,1,0,0,0,0,0
